2026-07-28 02:49:21 | INFO     | PDF erstellt: C:\Users\sonde\Desktop\Python Projekte\FerdlWorks\data\pdfs\RG_RG-2026-0002_20260728.pdf
2026-07-28 02:49:21 | INFO     | PDF erstellt: C:\Users\sonde\Desktop\Python Projekte\FerdlWorks\data\pdfs\RG_RG-2026-0002_20260728.pdf
2026-07-28 02:50:43 | INFO     | Anwendung wird beendet
2026-07-28 02:51:02 | INFO     | FerdlWorks v1.0.13 gestartet (Master-Mode: False)
2026-07-28 02:51:09 | INFO     | PDF erstellt: C:\Users\sonde\Desktop\Python Projekte\FerdlWorks\data\pdfs\RG_RG-2026-0002_20260728.pdf
2026-07-28 02:51:09 | INFO     | PDF erstellt: C:\Users\sonde\Desktop\Python Projekte\FerdlWorks\data\pdfs\RG_RG-2026-0002_20260728.pdf
2026-07-28 02:52:36 | INFO     | FerdlWorks v1.0.13 gestartet (Master-Mode: False)
2026-07-28 02:52:44 | INFO     | PDF erstellt: C:\Users\sonde\Desktop\Python Projekte\FerdlWorks\data\pdfs\RG-2026-0002_20260728.pdf
2026-07-28 02:52:44 | INFO     | PDF erstellt: C:\Users\sonde\Desktop\Python Projekte\FerdlWorks\data\pdfs\RG-2026-0002_20260728.pdf
2026-07-28 02:54:07 | INFO     | Anwendung wird beendet
2026-07-28 02:54:08 | INFO     | Anwendung wird beendet
2026-07-28 02:54:36 | INFO     | FerdlWorks v1.0.13 gestartet (Master-Mode: False)
2026-07-28 02:54:43 | INFO     | PDF erstellt: C:\Users\sonde\Desktop\Python Projekte\FerdlWorks\data\pdfs\RG-2026-0002_20260728.pdf
2026-07-28 02:54:43 | INFO     | PDF erstellt: C:\Users\sonde\Desktop\Python Projekte\FerdlWorks\data\pdfs\RG-2026-0002_20260728.pdf
2026-07-28 02:55:38 | INFO     | PDF erstellt: C:\Users\sonde\Desktop\Python Projekte\FerdlWorks\data\pdfs\RG-2026-0002_20260728.pdf
2026-07-28 02:55:38 | INFO     | PDF erstellt: C:\Users\sonde\Desktop\Python Projekte\FerdlWorks\data\pdfs\RG-2026-0002_20260728.pdf
2026-07-28 02:55:45 | INFO     | PDF erstellt: C:\Users\sonde\Desktop\Python Projekte\FerdlWorks\data\pdfs\RG-2026-0002_20260728.pdf
2026-07-28 02:55:45 | INFO     | PDF erstellt: C:\Users\sonde\Desktop\Python Projekte\FerdlWorks\data\pdfs\RG-2026-0002_20260728.pdf
2026-07-28 02:56:56 | INFO     | FerdlWorks v1.0.13 gestartet (Master-Mode: False)
2026-07-28 02:57:23 | INFO     | Dokument RG-2026-0002 gespeichert
2026-07-28 02:57:23 | INFO     | PDF erstellt: C:\Users\sonde\Desktop\Python Projekte\FerdlWorks\data\pdfs\RG-2026-0002_20260728.pdf
2026-07-28 02:57:23 | INFO     | PDF erstellt: C:\Users\sonde\Desktop\Python Projekte\FerdlWorks\data\pdfs\RG-2026-0002_20260728.pdf
2026-07-28 02:58:17 | INFO     | Anwendung wird beendet
2026-07-28 02:58:22 | INFO     | Anwendung wird beendet
2026-07-28 02:58:35 | INFO     | FerdlWorks v1.0.13 gestartet (Master-Mode: False)
2026-07-28 02:58:42 | INFO     | Dokument RG-2026-0002 gespeichert
2026-07-28 02:58:42 | INFO     | PDF erstellt: C:\Users\sonde\Desktop\Python Projekte\FerdlWorks\data\pdfs\RG-2026-0002_20260728.pdf
